type,depot1,depot2
30.0,83.0,83.0
30.0,84.0,84.0
30.0,85.0,85.0
30.0,86.0,86.0
30.0,87.0,87.0
30.0,88.0,88.0
30.0,89.0,89.0
30.0,90.0,90.0
30.0,91.0,91.0
